"BF_ID";"SCHICHT_NR";"HOR_NR";"OTIEF";"UTIEF";"SW_HORIZ";"HORIZ";"BOART";"GROBBOD_F";"GROBBOD_K";"HUMUS";"KALK";"KOHLE";"SUBSTRART";"PH";"LD";"GEFUEGE";"SV";"STRAT";"STRAT_JUENGST_PRAEG";"STRAT_URSP";"GEOGEN";"HERK";"LAGE"
8393;2;3;5,00;9,00;"II";"elCv";"Lts";"X";3;"h0";"c4";;"c-(n)ctl(^k)";;"Ld3";;;"qp";"qp";;"c";"^k";
8393;3;4;9,00;20,00;"III";"cmCn";;;;;;;"n-^k";;;;;;;;"n";"^k";
8394;1;1;0,00;2,50;;"eAp";"Lt2";"X";2;"h2";"c3.3";;"pfl-(n)cll(^k)";;"Ld3";;;"qp";"qp";;"pfl";"^k";"LB"
8394;1;2;2,50;6,00;;"clCv";"Lt2";"X";3;"h0";"c6";;"pfl-(n)llc(^k)";;"Ld4";;;"qp";"qp";;"pfl";"^k";"LB"
8394;2;3;6,00;10,00;"II";"elCv";"Tu2";;1;"h0";"c4";;"c-clt(^k)";;"Ld4";;;"qp";"qp";;"c";"^k";
8394;3;4;10,00;20,00;"III";"cmCn";;;;;;;"n-^k";;;;;;;;"n";"^k";
8395;1;1;0,00;2,50;;"Ap";"Lt2";"X";2;"h3";"c2";;"pfl-(n)(c)ll(^k,Lol)";;"Ld2";;;"qp";"qp";;"pfl";"^k,Lol";"LH"
8395;1;2;2,50;4,00;;"Bv-elCv";"Lt2";"X";3;"h1";"c3.2";;"pfl-(n)cll(^k,Lol)";;"Ld3";;;"qp";"qp";;"pfl";"^k,Lol";"LH"
8395;2;3;4,00;8,00;"II";"elCv";"Ls2";"X";3;"h0";"c3.4";;"pfl-(n)cll(^k)";;"Ld3";;;"qp";"qp";;"pfl";"^k";"LB"
8395;3;4;8,00;20,00;"III";"cmCn";;;;;;;"n-^k";;;;;;;;"n";"^k";
8396;1;1;0,00;2,50;;"Ap";"Lt3";"Gr";2;"h3";"c0";;"pfl-(z)ut(^k)";;"Ld3";;;"qp";"qp";;"pfl";"^k";"LB"
8396;1;2;2,50;6,00;;"P";"Tu2";"Gr";3;"h0";"c0";;"pfl-(z)lt(^k)";;"Ld4";;;"qp";"qp";;"pfl";"^k";"LB"
8396;2;3;6,00;8,50;"II";"ilCv";"Tu2";"Gr";3;"h0";"c0";;"pfl-(z)lt(^k)";;"Ld4";;;"qp";"qp";;"pfl";"^k";"LB"
8396;3;4;8,50;20,00;"III";"cmCn";;;;;;;"n-^k";;;;;;;;"n";"^k";
8397;1;1;0,00;2,00;;"Ap";"Ls2";"X";2;"h3";"c0";;"pfl-(n)ll(^k)";;"Ld2";;;"qp";"qp";;"pfl";"^k";"LB"
8397;1;2;2,00;5,00;;"Bv";"Lt2";"X";3;"h1";"c0";;"pfl-(n)ll(^k)";;"Ld3";;;"qp";"qp";;"pfl";"^k";"LB"
8397;2;3;5,00;7,00;"II";"elCv";"Tu3";"X";3;"h0";"c3.3";;"c-(n)cut(^k)";;"Ld4";;;"qp";"qp";;"c";"^k";"LB"
8397;3;4;7,00;20,00;"III";"cmCn";;;;;;;"n-^k";;;;;;;;"n";"^k";
8398;1;1;0,00;2,50;;"Ap";"Ls3";"Gr";2;"h2";"c0";;"p-(z)ll(*Gn)";;"Ld2";;;"qp";"qp";;"p";"*Gn";
8398;1;2;2,50;4,50;;"Bv";"Ls3";"Gr";2;"h0";"c0";;"p-(z)ll(*Gn)";;"Ld3";;;"qp";"qp";;"p";"*Gn";
8398;2;3;4,50;7,00;"II";"Bv";"Sl4";"X";4;"h0";"c0";;"p-nsl(*Gn)";;"Ld4";;;"qp";"qp";;"p";"*Gn";
8398;2;4;7,00;9,00;;"Bv-ilCv";"Sl4";"X";5;"h0";"c0";;"p-sln(*Gn)";;"Ld4";;;"qp";"qp";;"p";"*Gn";
8398;3;5;9,00;14,00;"III";"mCv";"Sl4";"X";6;"h0";"c0";;"c-n(*Gn)";;"Ld4";;;"qp";"qp";;"c";"*Gn";
8398;4;6;14,00;20,00;"IV";"mCn";;;;;;;"n-*Gn";;;;;;;;"n";"*Gn";
8399;1;1;0,00;1,50;;"Ah";"Sl3";"Gr";2;"h3";"c0";;"p-(z)ls(*Gn)";;"Ld2";;;"qp";"qp";;"p";"*Gn";
8399;1;2;1,50;4,50;;"Sw-Bv";"Sl4";"Gr";2;"h0";"c0";;"p-(z)sl(*Gn)";;"Ld3";;;"qp";"qp";;"p";"*Gn";
8399;2;3;4,50;7,00;"II";"Sd";"Ls3";"X";4;"h0";"c0";;"p-nll(*Gn)";;"Ld4";;;"qp";"qp";;"p";"*Gn";
8399;2;4;7,00;9,00;;"Sd-ilCv";"Ls3";"X";4;"h0";"c0";;"p-nll(*Gn)";;"Ld4";;;"qp";"qp";;"p";"*Gn";
8399;3;5;9,00;14,00;"III";"mCv";"Sl4";"X";6;"h0";"c0";;"c-n(*Gn)";;"Ld4";;;"qp";"qp";;"c";"*Gn";
8399;4;6;14,00;20,00;"IV";"mCn";;;;;;;"n-*Gn";;;;;;;;"n";"*Gn";
8400;1;1;0,00;3,00;;"Ap";"Slu";"Gr";3;"h3";"c0";;"p-(z)sl(Lo)";;"Ld2";;;"qp";"qp";;"p";"Lo";
8400;1;2;3,00;4,00;;"Sw";"Ls2";"Gr";2;"h0";"c0";;"p-(z)ll(Lo)";;"Ld3";;;"qp";"qp";;"p";"Lo";
8400;1;3;4,00;6,50;;"Sd";"Ls3";"Gr";3;"h0";"c0";;"p-(z)ll(Lo)";;"Ld4";;;"qp";"qp";;"p";"Lo";
