"GEN_ID";"BF_ID";"BOF_NR";"STATUS";"BODTYP";"BO_SUBTYP";"BO_SUBTYP_TXT";"BODSYSTEINH";"BODSYSTEINH_TXT";"SUBSTRSUBTYP";"KULTUR";"HUFORM";"GWS";"VNGRAD";"MHGW";"MGW";"MNGW";"FLANT_SPANNE";"FLANT_MITTELW"
884;4285;2;"Begleitprofil";"GG";"GGa";"Auengley";"GGa";"Auengley";"fo-t(Tfo)//fo-u(Ufo)";"A";;;;;;;"< 10";5
884;4286;3;"Begleitprofil";"GG";"GGa";"Auengley";"GGa";"Auengley";"fo-t(Tfo)//fo-u(Ufo)";"F";"MOR";;;;;;"10 bis < 30";20
884;4287;4;"Begleitprofil";"GG";"GGa";"Auengley";"GGa";"Auengley";"fo-t(Tfo)/fo-l(Lfo)";"A";;;;;;;"< 10";5
884;4288;5;"Begleitprofil";"GG";"GGa";"Auengley";"GGa";"Auengley";"fo-t(Tfo)/fo-l(Lfo)";"G";;;;;;;"10 bis < 30";20
884;4289;6;"Begleitprofil";"GG";"GGa";"Auengley";"GGa";"Auengley";"fo-t(Tfo)/fo-l(Lfo)";"F";"MOR";;;;;;"< 10";5
885;4290;1;"Leitprofil";"GG";"GGa";"Auengley";"GGa";"Auengley";"fo-t(Tfo)//fo-u(Ufo)";"G";;;;;;;"30 bis < 50";40
885;4291;2;"Begleitprofil";"GG";"GGa";"Auengley";"GGa";"Auengley";"fo-t(Tfo)//fo-u(Ufo)";"A";;;;;;;"10 bis < 30";20
885;4292;3;"Begleitprofil";"GG";"GGa";"Auengley";"GGa";"Auengley";"fo-t(Tfo)//fo-u(Ufo)";"F";"MOR";;;;;;"10 bis < 30";20
885;4293;4;"Begleitprofil";"GN";"GNn";"Normnassgley";"GNn";"Normnassgley";"fo-u(Ufo)//ff-s(Sf)";"A";;;;;;;"< 10";5
885;4294;5;"Begleitprofil";"GN";"GNn";"Normnassgley";"GNn";"Normnassgley";"fo-u(Ufo)//ff-s(Sf)";"G";;;;;;;"< 10";5
885;4295;6;"Begleitprofil";"GN";"GNn";"Normnassgley";"GNn";"Normnassgley";"fo-u(Ufo)//ff-s(Sf)";"F";"MOR";;;;;;"< 10";5
886;4296;1;"Leitprofil";"HN";"HNn";"Normniedermoor";"HNn";"Normniedermoor";"og-Hn//fo-u(Ufo)";"G";;;;;;;"30 bis < 50";40
886;4297;2;"Begleitprofil";"GG";"GGa";"Auengley";"GGa";"Auengley";"fo-u(Ufo)/og-Hn//fo-u(Ufo)";"A";;;;;;;"< 10";5
886;4298;3;"Begleitprofil";"HN";"HNn";"Normniedermoor";"HNn";"Normniedermoor";"og-Hn//fo-u(Ufo)";"F";"MOR";;;;;;"10 bis < 30";20
886;4299;4;"Begleitprofil";"GG";"GGa";"Auengley";"GGa";"Auengley";"fo-u(Ufo)/fo-t(Tfo)//og-Hn";"A";;;;;;;"< 10";5
886;4300;5;"Begleitprofil";"GG";"GGa";"Auengley";"GGa";"Auengley";"fo-u(Ufo)/fo-t(Tfo)//og-Hn";"G";;;;;;;"10 bis < 30";20
886;4301;6;"Begleitprofil";"GG";"GGa";"Auengley";"GGa";"Auengley";"fo-u(Ufo)/fo-t(Tfo)//og-Hn";"F";"MOR";;;;;;"10 bis < 30";20
